TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0003723"	"RNA binding"	-2.125599608641549	6.43945443714506	6.099813894661886	0.8072398915118998	0.3443017	-4.795862457656694	-4.069579323996221	null
"GO:0003735"	"structural constituent of ribosome"	-2.3063453870079487	5.982211513442491	2.128498588986873	1	-0	-1.8327309546940054	5.214159114318663	null
"GO:0003743"	"translation initiation factor activity"	-2.506156090153474	5.226024760921264	0.37315089336372126	0.7572032240364351	0.24893209	-5.5694191653062886	-2.01016972365813	null
"GO:0090079"	"translation regulator activity, nucleic acid binding"	-2.0556205805954177	5.5575637407201075	0.8006170662803853	0.7484744077760994	0.9098599	null	null	3743
"GO:0003955"	"NAD(P)H dehydrogenase (quinone) activity"	-5.946673441464065	5.159858830504534	0.32041890398799755	0.7400056158989043	0.03782958	-5.599202949314163	3.5877760108007393	null
"GO:0003954"	"NADH dehydrogenase activity"	-2.5031034455898045	5.186459068907396	0.34065796483880617	0.7525078358881252	0.84036841	null	null	3955
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	-3.210565435928671	4.982289328266	0.2128860040385874	0.742998513619593	0.90580117	null	null	3955
"GO:0016765"	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	-14.124351859826227	5.6509793338587695	0.9927517685284755	0.9772580570277989	0	1.9977252491410298	4.956478837545635	null
"GO:0016846"	"carbon-sulfur lyase activity"	-2.6890263909525376	4.982691752162833	0.2130833609374284	0.9794484639599235	0.03639583	5.590714046243681	2.724502938696676	null
"GO:0019843"	"rRNA binding"	-6.900720816804705	5.701542945487235	1.1153325776412018	0.835202566885766	0.05274861	-6.044548201654912	-3.6218645222488655	null
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	-2.054019641899559	5.680542184778252	1.062682635515558	0.9024681871410898	0.15455964	4.15307890314956	-2.0824346778139633	null
"GO:0051540"	"metal cluster binding"	-12.725269847452662	5.942901036457624	1.944298077570841	0.8954228081211022	-0	5.2038235894779135	-4.457023114909673	null
"GO:0097159"	"organic cyclic compound binding"	-2.0791220405935267	7.247752677084096	39.22969739688024	0.8960665321996599	0.09126372	-0.3300914377916662	-7.758987727789426	null
"GO:1901363"	"heterocyclic compound binding"	-2.125599608641549	6.956734421862043	20.072278748835316	0.8620729997677683	0.23645146	2.950767185093327	-5.219159794770695	null
